Sr.,Date,Time,Pick up location,drop off location,Yango Economy,Yango Comfort,Yango Bike,Distance (km),Indrive Economy,Indrive Comfort,Indrive Bike,weather
41,27-11-23,0:38:00,Air University e/9,The Jungle Lounge e/11,306,408,133,6.4,355,518,149,normal
42,27-11-23,0:45:00,Air University e/9,Hill View Residency e/11,390,459,126,7.7,415,602,175,normal
43,27-11-23,12:56:00,Air University e/9,Us guest house islamabad E11,400,570,150,7.8,415,602,175,normal
44,27-11-23,1:04:00,Air University e/9,Metro Consulting Grid Pvt Ltd. e/11,390,580,146,7.5,418,606,177,normal
45,27-11-23,1:09:00,Air University e/9,Lazzat spa Islamabad e/11,367,530,142,7.1,373,545,157,normal
46,27-11-23,1:11:00,Air University e/9,Jamia Masjid Qurtubah e/11,458,475,138,6.6,361,527,151,normal
47,27-11-23,1:14:00,Air University e/9,AJWA RANT A CAR e/11,340,500,148,6.7,361,528,151,normal
48,27-11-23,1:15:00,Jamia Masjid Qurtubah e/11,"Autism Resource Centre, Islamabad e/11",167,277,70,0.5,178,290,80,normal
49,27-11-23,1:18:00,Jamia Masjid Qurtubah e/11,The City School E-11 Campus,162,277,65,0.7,178,290,80,normal
50,27-11-23,1:22:00,Jamia Masjid Qurtubah e/11,MARGALLA Hills Residency Islamabad E-11/3,157,275,65,0.55,178,290,80,normal
51,27-11-23,1:25:00,Jamia Masjid Qurtubah e/11,Apple Group of Schools Islamabad e/11,162,270,63,0.55,178,290,80,normal
52,27-11-23,1:30:00,Jamia Masjid Qurtubah e/11,Flexi dreams hospitality services Islamabad e/11,177,270,70,0.8,181,290,80,normal
53,27-11-23,1:34:00,Jamia Masjid Qurtubah e/11,IBH BOYS HOSTEL e/11,239,277,65,0.75,178,290,80,normal
54,27-11-23,1:38:00,Jamia Masjid Qurtubah e/11,Premier cottage Inn e/11,155,245,67,0.85,178,290,80,normal
55,27-11-23,1:40:00,Jamia Masjid Qurtubah e/11,Unicres Pvt Ltd e/11,145,255,70,0.9,178,290,80,normal
56,27-11-23,1:45:00,Jamia Masjid Qurtubah e/11,Backpackers Hostel Islamabad e/11,190,290,70,1.9,203,305,81,normal
57,27-11-23,1:55:00,Jamia Masjid Qurtubah e/11,Luxury Apartment Hotel & Guest House e/11,167,287,70,0.25,178,290,80,normal
58,27-11-23,1:57:00,Jamia Masjid Qurtubah e/11,Canadian Inn Hotel Islamabad e/11,206,290,75,1.2,206,308,83,normal
59,27-11-23,2:00:00,Jamia Masjid Qurtubah e/11,Family lodge e/11,180,270,70,1.6,193,291,80,normal
60,27-11-23,2:03:00,PAF HOSPITAL e 9,Fitness Zone by The NAK e/11,310,455,125,6.6,317,464,132,normal
61,27-11-23,2:06:00,PAF HOSPITAL e 9,Arif Javed Rao Park e/11,306,447,116,6.4,310,455,129,normal
62,27-11-23,2:09:00,PAF HOSPITAL e 9,Najeeb Pharmacy E-11/3,287,420,115,6.1,294,433,122,normal
63,27-11-23,2:12:00,PAF HOSPITAL e 9,GLLC Languages Institute Islamabad e 11,280,424,115,6.2,298,437,123,normal
64,27-11-23,2:15:00,PAF HOSPITAL e 9,BABA JEE GUEST HOUSE e 11,280,435,109,5.9,291,428,121,normal
65,27-11-23,2:19:00,PAF HOSPITAL e 9,INDUS HERITAGE CLUB e/11,290,438,106,6.1,301,441,125,normal
66,27-11-23,2:25:00,PAF HOSPITAL e 9,Mudan Residence guest house e/11,278,415,110,6,291,428,121,normal
67,27-11-23,2:30:00,PAF HOSPITAL e 9,Sargodhian Spirit Trust (SST) e/11,267,405,109,5.9,288,424,119,normal
68,27-11-23,2:33:00,PAF HOSPITAL e 9,Beaconhouse E11 Campus,289,432,115,5.7,301,441,125,normal
69,27-11-23,2:35:00,PAF HOSPITAL e 9,"IIUI School, E-11 Campus",276,400,110,5.7,282,415,116,normal
70,27-11-23,7:34:00,Tehseen Plaza i/8,BAIT UL MOHSINAAT GIRLS HOSTEL ISLAMABAD i-9/1,194,242,71,3.1,241,358,98,normal
71,27-11-23,7:37:00,Tehseen Plaza i/9,play ground G-11/3,339,423,155,10.6,484,700,206,normal
72,27-11-23,7:40:00,D Watson I-10 Markaz,play ground G-11/3,308,385,140,10.2,509,737,217,normal
73,27-11-23,7:44:00,D Watson I-10 Markaz,BAIT UL MOHSINAAT GIRLS HOSTEL ISLAMABAD i-9/1,157,196,57,1.4,187,290,80,normal
74,27-11-23,7:52:00,"Rumi Hostel H-12, Islamabad","Soft Swirl F-10 Markaz F 10/3 F-10, Islamabad",566,580,212,11.4,509,736,217,normal
75,27-11-23,7:59:00,"Rumi Hostel H-12, Islamabad","Tehzeeb Bakers I-8 Markaz I 8 Markaz I-8, Islamabad",521,527,208,10.8,490,711,209,normal
76,27-11-23,8:10:00,"Rumi Hostel H-12, Islamabad",D Watson I-10 Markaz,285,356,154,6.5,351,515,147,normal
77,27-11-23,8:13:00,"Rumi Hostel H-12, Islamabad",Bismillah Market I-10 markaz,298,434,127,6.9,364,532,153,normal
78,27-11-23,8:15:00,"Soft Swirl F-10 Markaz F 10/3 F-10, Islamabad",Rawal Kings Cricket,431,537,205,12.5,538,777,230,normal
79,27-11-23,8:19:00,"Soft Swirl F-10 Markaz F 10/3 F-10, Islamabad",Tehzeeb Bakers G-7/3 jinnah avenue,228,258,93,8,358,523,150,normal
80,27-11-23,8:21:00,"Soft Swirl F-10 Markaz F 10/3 F-10, Islamabad",D Watson I-10 Markaz,185,231,71,11.4,247,366,101,normal
81,27-11-23,11:12:00,Soft Swirl I-8 markaz,Bismillah Market I-10 markaz,260,324,128,6.2,215,322,87,normal
82,27-11-23,11:15:00,Soft Swirl i-8 markez,"Butt Lodges Guest House Street 95, I-8/4 I 8/4 I-8, Islamabad",143,178,56,1.4,187,290,80,normal
83,27-11-23,11:18:00,Bismillah Market I-9/4 markaz,"Rumi Hostel H-12, Islamabad",369,460,164,11.8,519,749,221,normal
84,27-11-23,11:23:00,Bismillah Market I-9/4 markaz,new boys hostel,438,546,207,14.2,588,848,252,normal
85,27-11-23,11:26:00,Bismillah Market I-9/4 markaz,IJP metro bus station,157,196,56,1.9,200,299,80,normal
86,27-11-23,11:28:00,Bismillah Market I-9/4 markaz,Shifa International Hospital Gate 5,193,242,73,3.3,244,362,100,normal
87,27-11-23,11:32:00,Bismillah Market I-9/4 markaz,BAIT UL MOHSINAAT GIRLS HOSTEL ISLAMABAD i-9/1,167,209,59,2.2,203,304,81,normal
88,27-11-23,11:37:00,"Butt Lodges Guest House Street 95, I-8/4 I 8/4 I-8, Islamabad",Shifa International Hospital Gate 5,196,244,75,3.7,260,385,107,normal
89,27-11-23,11:39:00,"Butt Lodges Guest House Street 95, I-8/4 I 8/4 I-8, Islamabad",BAIT UL MOHSINAAT GIRLS HOSTEL ISLAMABAD i-9/1,225,331,89,4.5,294,434,122,normal
90,27-11-23,11:41:00,"Butt Lodges Guest House Street 95, I-8/4 I 8/4 I-8, Islamabad",cheezious i-8,148,185,56,1.5,190,290,80,normal
91,27-11-23,11:43:00,"Butt Lodges Guest House Street 95, I-8/4 I 8/4 I-8, Islamabad","Layers Bakeshop - I-8 Markaz I-8 Markaz I 8 Markaz I-8, Islamabad",148,185,56,1.4,187,290,80,normal
92,27-11-23,11:46:00,"Butt Lodges Guest House Street 95, I-8/4 I 8/4 I-8, Islamabad","Tehzeeb Bakers I-8 Markaz I 8 Markaz I-8, Islamabad",145,181,56,1.5,190,290,80,normal
93,27-11-23,11:49:00,"Butt Lodges Guest House Street 95, I-8/4 I 8/4 I-8, Islamabad",h-8 graveyard,227,283,91,4.6,323,473,135,normal
94,27-11-23,11:55:00,Rawal Kings Cricket i/11,cheezious i-8,337,524,155,8.3,405,589,171,normal
95,27-11-23,12:01:00,Air University e/9,The Grill burger f/7,318,321,110,3.8,269,397,111,normal
96,27-11-23,12:01:00,Air University e/9,La Cucina e/11,301,337,101,6.2,320,380,160,normal
97,27-11-23,12:18:00,Air University e/9,Black Rock Cafe e/11,370,411,136,6.6,361,527,151,normal
98,27-11-23,12:23:00,Air University e/9,Kashmir Residency Boys Hostel e/11,400,445,142,6.9,370,541,156,normal
99,27-11-23,12:29:00,Air University e/9,SK Residence e/11,360,530,174,7,373,545,180,normal
100,27-11-23,12:34:00,Air University e/9,Coyote Den Travelers Hostel Islamabad e/11,346,413,139,6.8,367,536,154,normal
101,27-11-23,12:38:00,Air University e/9,The Jungle Lounge e/11,306,408,133,6.4,355,518,149,normal
102,27-11-23,12:45:00,Air University e/9,Hill View Residency e/11,390,459,126,7.7,415,602,175,normal
103,27-11-23,12:50:00,Air University e/9,Sarai Silk Route Islamabad e/11,380,550,143,7,408,593,172,normal
104,27-11-23,12:56:00,Air University e/9,Us guest house islamabad E11 e/11,400,570,150,7.8,415,602,175,normal
105,27-11-23,13:03:00,Air University e/9,BR 9 -Best Sheesha Cafe in Islamabad e/11,340,520,188,6.3,373,545,157,normal
106,27-11-23,13:04:00,Air University e/9,Metro Consulting Grid Pvt Ltd. e/11,390,580,146,7.5,418,606,177,normal
107,27-11-23,13:09:00,Air University e/9,Lazzat spa Islamabad e/11,367,530,142,7.1,373,545,157,normal
108,27-11-23,13:13:00,Air University e/9,Jamia Masjid Qurtubah e/11,458,475,138,6.6,361,527,151,normal
109,27-11-23,13:14:00,Air University e/9,AJWA RANT A CAR e/11,340,500,148,6.7,361,528,151,normal
110,27-11-23,13:15:00,Jamia Masjid Qurtubah e/11,"Autism Resource Centre, Islamabad e/11",167,277,70,0.5,178,290,80,normal
111,27-11-23,13:18:00,Jamia Masjid Qurtubah e/11,The City School E-11 Campus e/11,162,277,65,0.7,178,290,80,normal
112,27-11-23,13:22:00,Jamia Masjid Qurtubah e/11,MARGALLA Hills Residency Islamabad E-11/3,157,275,65,0.55,178,290,80,normal
113,27-11-23,13:25:00,Jamia Masjid Qurtubah e/11,Apple Group of Schools Islamabad e/11,162,270,63,0.55,178,290,80,normal
114,27-11-23,13:30:00,Jamia Masjid Qurtubah e/11,Flexi dreams hospitality services Islamabad e/11,177,270,70,0.8,181,290,80,normal
115,27-11-23,13:34:00,Jamia Masjid Qurtubah e/11,IBH BOYS HOSTEL e/11,239,277,65,0.75,178,290,80,normal
116,27-11-23,13:38:00,Jamia Masjid Qurtubah e/11,Premier cottage Inn e/11,155,245,67,0.85,178,290,80,normal
117,27-11-23,13:40:00,Jamia Masjid Qurtubah e/11,Unicres Pvt Ltd e/11,145,255,70,0.9,178,290,80,normal
118,27-11-23,13:45:00,Jamia Masjid Qurtubah e/11,Backpackers Hostel Islamabad e/11,190,290,70,1.9,203,305,81,normal
119,27-11-23,13:55:00,Jamia Masjid Qurtubah e/11,Luxury Apartment Hotel & Guest House e/11,167,287,70,0.25,178,290,80,normal
120,27-11-23,13:57:00,Jamia Masjid Qurtubah e/11,Canadian Inn Hotel Islamabad e/11,206,290,75,1.2,206,308,83,normal
121,27-11-23,14:00:00,Jamia Masjid Qurtubah e/11,Family lodge e/11,180,270,70,1.6,193,291,80,normal
122,27-11-23,14:03:00,PAF HOSPITAL e 9,Fitness Zone by The NAK e/11,310,455,125,6.6,317,464,132,normal
123,27-11-23,14:06:00,PAF HOSPITAL e 9,Arif Javed Rao Park e/11,306,447,116,6.4,310,455,129,normal
124,27-11-23,14:09:00,PAF HOSPITAL e 9,Najeeb Pharmacy E-11/3,287,420,115,6.1,294,433,122,normal
125,27-11-23,14:12:00,PAF HOSPITAL e 9,GLLC Languages Institute Islamabad e 11,280,424,115,6.2,298,437,123,normal
126,27-11-23,14:15:00,PAF HOSPITAL e 9,BABA JEE GUEST HOUSE e 11,280,435,109,5.9,291,428,121,normal
127,27-11-23,14:19:00,PAF HOSPITAL e 9,INDUS HERITAGE CLUB e 11,290,438,106,6.1,301,441,125,normal
128,27-11-23,14:25:00,PAF HOSPITAL e 9,Mudan Residence guest house  e/11,278,415,110,6,291,428,121,normal
129,27-11-23,14:30:00,PAF HOSPITAL e 9,Sargodhian Spirit Trust (SST) e/11,267,405,109,5.9,288,424,119,normal
130,27-11-23,14:33:00,PAF HOSPITAL e 9,Beaconhouse E11 Campus  ,289,432,115,5.7,301,441,125,normal
131,27-11-23,14:35:00,PAF HOSPITAL e 9,"IIUI School, E-11 Campus",276,400,110,5.7,282,415,116,normal
132,27-11-23,14:37:00,PAF HOSPITAL e 9,ARJ Events e/11,299,430,114,6.1,301,441,125,normal
133,27-11-23,14:40:00,PAF HOSPITAL e 9,BASES INCLUSIVE MONTESSORI e/11,301,456,120,6.8,323,473,135,normal
134,27-11-23,14:44:00,PAF HOSPITAL e 9,Kamran auto bike shop e/11,280,413,108,5.7,291,428,121,normal
135,27-11-23,14:49:00,PAF HOSPITAL e 9,Step Inn Guest House Islamabad e/11,260,390,100,5.5,278,406,114,normal
136,27-11-23,14:55:00,PAF HOSPITAL e 9,Dream Inn Guest House islamabad e/11,280,420,110,6,294,433,122,normal
137,27-11-23,14:59:00,PAF HOSPITAL e 9,Alfalah Manzil Trust e/11,270,395,100,5.9,285,419,118,normal
138,27-11-23,15:03:00,PAF HOSPITAL e 9,Aura Grande Enclave e/11,256,377,99,5.1,263,388,108,normal
139,27-11-23,15:09:00,PAF HOSPITAL e 9,LHR Milk Shake e/11,287,413,113,7.1,298,437,123,normal
140,27-11-23,15:13:00,PAF HOSPITAL e 9,We Play Entertainment Center e/11,276,407,103,5.5,285,419,118,normal
141,27-11-23,15:15:00,PAF HOSPITAL e 9,AL VEER GUEST HOUSE & APARTMENTS e/11,320,472,126,7.6,332,487,139,normal
142,27-11-23,16:44:00,National Defence University e 9,AHQ Officers' Mess e/9,199,249,104,2.4,225,335,91,normal
143,27-11-23,16:48:00,National Defence University e 9,Shaheen Foundation e/9,196,245,103,2,209,313,84,normal
144,27-11-23,16:51:00,National Defence University e 9,Fazaia Teachers Training Institute e/9,203,253,103,1.8,209,313,84,normal
145,27-11-23,16:53:00,National Defence University e 9,PES Secretariat e/9,187,267,76,1.5,200,300,80,normal
146,27-11-23,16:56:00,National Defence University e 9,Pakistan Air Force Mag Sec e/9,187,276,70,1.7,203,304,81,normal
147,27-11-23,16:58:00,National Defence University e 9,E-9 Cricket Ground,191,239,101,1.6,203,304,81,normal
148,27-11-23,17:00:00,National Defence University e 9,PAF Finishing School e/9,198,248,75,1.6,203,304,81,normal
149,27-11-23,17:01:00,National Defence University e 9,Masjid e Quba e/9,198,248,75,1.6,203,304,81,normal
150,27-11-23,17:03:00,National Defence University e 9,Sports Complexe e/9,199,258,71,2,197,296,80,normal
151,27-11-23,17:04:00,National Defence University e 9,PAF Main Mosque e/9,171,223,99,1,184,290,80,normal
152,27-11-23,17:06:00,National Defence University e 9,Anum Book & Stationers e/9,176,276,76,1.3,184,290,80,normal
153,27-11-23,17:09:00,National Defence University e 9,Fazaia Inter College Islamabad e/9,219,313,70,1.3,184,290,80,normal
154,27-11-23,17:10:00,National Defence University e 9,PAF Wards Boys Hostel e/9,224,319,71,1.4,200,300,80,normal
155,27-11-23,17:12:00,National Defence University e 9,Air Headquarters Reception e/9,203,293,68,1.2,181,290,80,normal
156,27-11-23,17:14:00,National Defence University e 9,Middlecoat Park e/9,185,231,68,0.55,178,290,80,normal
157,27-11-23,17:16:00,National Defence University e 9,Pakistan Gospel Assemblies Church e/11,415,495,174,6.8,367,538,154,normal
158,27-11-23,17:18:00,National Defence University e 9,CSD (Canteen Store Department e/10,188,300,70,2.2,209,313,84,normal
159,27-11-23,17:20:00,National Defence University e 9,Pakistan Gate e/10,212,350,80,3.3,253,376,104,normal
160,27-11-23,17:25:00,Faisal Mosque e/8,Margalla Greens Golf Club e/8,430,380,106,3.7,310,458,129,normal
161,27-11-23,17:26:00,Faisal Mosque e/8,National Defence University (NDU) e/9,451,390,122,4.2,298,440,123,normal
162,27-11-23,17:28:00,Faisal Mosque e/8,PNS Hafeez - Naval Hospital e/8,200,330,92,2.5,266,394,109,normal
163,27-11-23,17:30:00,Faisal Mosque e/8,Shelton Guest House f/8,176,289,81,2.4,215,322,87,normal
164,27-11-23,17:33:00,Faisal Mosque e/8,PNS Zafar e/8,260,390,100,2.7,279,412,115,normal
165,27-11-23,17:36:00,Faisal Mosque e/8,PAF Complex Islamabad - AHQ e/9,432,400,118,4.5,301,444,125,normal
166,27-11-23,17:37:00,Faisal Mosque e/8,Faisal Battery Shop e/7,190,290,70,1.5,203,304,81,normal
167,27-11-23,17:38:00,Faisal Mosque e/8,CSD - Canteen Stores Department e/10,265,390,100,2.5,272,404,112,normal
168,27-11-23,17:40:00,Faisal Mosque e/8,PN Football Ground e/8,276,400,100,2.9,282,417,116,normal
169,27-11-23,17:40:00,Faisal Mosque e/8,Navy Mess Guestrooms e/8,396,380,107,2.9,282,417,116,normal
170,27-11-23,17:45:00,Faisal Mosque e/8,PN Central Mess e/8,440,457,103,2.8,279,412,115,normal
171,27-11-23,17:49:00,Faisal Mosque e/8,Riding Club E-8,595,574,125,3.4,301,444,125,normal
172,27-11-23,17:52:00,Faisal Mosque e/8,PNS Zafar Helipad e/8,270,400,100,3,288,426,119,normal
173,27-11-23,17:54:00,Faisal Mosque e/8,Islamabad Fire Station e/8,265,404,106,2.8,282,417,116,normal
174,27-11-23,17:56:00,Faisal Mosque e/8,M.E.S Mosque e/8,290,430,109,3.1,304,449,126,normal
175,27-11-23,17:58:00,Faisal Mosque e/8,Bahria Park e/8,507,540,118,3.4,301,444,125,normal
176,27-11-23,18:00:00,Faisal Mosque e/8,VCNS House e/8,290,430,109,3.5,304,448,126,normal
177,27-11-23,18:04:00,Faisal Mosque e/8,ARC Officer’s Mess (ARCOM) e/8,505,498,118,3.7,304,449,126,normal
178,27-11-23,18:05:00,Faisal Mosque e/8,Naval Park e/8,421,471,98,2.2,272,404,112,normal
179,27-11-23,18:07:00,Faisal Mosque e/8,Margalla Park e/8,393,290,90,2.9,228,340,93,normal
180,27-11-23,18:10:00,Faisal Mosque e/8,Special Children Bahria College Islamabad e/8,260,400,100,2.7,279,412,115,normal
181,27-11-23,18:14:00,Faisal Mosque e/8,"Post Office, E-8, Islamabad",271,399,100,2.8,282,417,116,normal
182,27-11-23,12:38:00,Sir Syed CASE Institute of Technology b/17,Farhan motors and properties Block A Sector B-17,132,165,56,0.35,299,80,178,normal
183,27-11-23,14:58:00,Sir Syed CASE Institute of Technology b/18,Jamia muhammadi masjid b-17 Block B sector B-17,160,200,189,2.8,344,94,231,normal
184,27-11-23,14:39:00,Sir Syed CASE Institute of Technology b/19,Silver bell marketing Block D sector B-17,197,246,150,2.1,313,83,209,normal
185,27-11-23,15:03:00,Sir Syed CASE Institute of Technology b/20,Hujra restaurant Block D sector B-17,202,253,170,2.8,344,94,231,normal
186,28-11-23,7:46:00,Rawal Kings Cricket i/11,Air uiversity  e/8,457,600,223,13.7,576,830,247,normal
187,28-11-23,7:48:00,Islamabad railway h/9,centaurus mall f/8,295,369,133,7.7,386,562,163,normal
188,28-11-23,7:53:00,Islamabad railway h/9,"Butt Lodges Guest House Street 95, I-8/4 I 8/4 I-8, Islamabad",227,283,90,4.1,272,403,112,normal
189,28-11-23,7:55:00,Islamabad railway h/9,IJP metro bus station i/8,202,252,103,3.5,253,375,104,normal
190,28-11-23,8:49:00,Islamabad railway h/9,pims metro station g/8,269,336,124,7.7,386,562,163,normal
191,28-11-23,8:50:00,Islamabad railway h/9,new boys hostel h/8,500,649,245,15.4,629,906,270,normal
192,28-11-23,8:52:00,Islamabad railway h/9,Faiz Ahmed Faiz Metro bus station H-8,174,217,63,3,247,366,101,normal
193,28-11-23,16:05:00,Margalla Park f/8,Sungas LPG Marketing Company e/7,179,224,66,1.3,184,290,80,normal
194,28-11-23,16:54:00,Margalla Park f/8,Customs Mess E7,178,223,66,1.5,190,290,80,normal
195,28-11-23,16:56:00,Margalla Park f/8,Academy For Educational Development e/7,173,216,65,1.4,187,290,80,normal
196,28-11-23,16:59:00,Margalla Park f/8,"The Allergy & Asthma Institute, Pakistan e/7",176,220,66,1.4,187,290,80,normal
197,28-11-23,17:00:00,Margalla Park f/8,Rhodium Boutique Hotel Islamabad e.7,181,227,66,1.5,187,290,80,normal
198,28-11-23,17:04:00,Margalla Park f/8,Embassy of Bosnia and Herzegovina e/7,180,225,66,1.6,193,290,80,normal
199,28-11-23,17:09:00,Margalla Park f/8,Nishtar & Zafar Lawyers and Corporate Counsels e/7,179,223,66,1.5,190,290,80,normal
200,28-11-23,17:11:00,Margalla Park f/8,"Ahmed Ch,Capital Furniture e/7",187,234,67,1.7,197,295,80,normal
201,28-11-23,17:13:00,Margalla Park f/8,Dr. Rana's Pet Care Center e/7,185,276,78,1.9,203,304,81,normal
202,28-11-23,17:17:00,Margalla Park f/8,E-7 Park,188,235,67,2.3,215,322,87,normal
203,28-11-23,17:18:00,Margalla Park f/8,Silk roads Pakistan tours e/7,181,227,66,2.3,215,322,87,normal
204,28-11-23,17:20:00,Margalla Park f/8,Cycling Track E-7,181,227,66,2.5,215,321,87,normal
205,28-11-23,17:22:00,Margalla Park f/8,Gulistan-e-Fatima Park e/7,180,226,65,2.4,219,326,88,normal
206,28-11-23,17:24:00,Margalla Park f/8,Hillside Residence by Paramount Hospitality e/7,214,267,80,2.9,234,349,95,normal
207,28-11-23,17:26:00,Margalla Park f/8,Jamia Faridia e/7,208,260,75,3.1,241,357,98,normal
208,28-11-23,17:27:00,ARC Officer’s Mess (ARCOM) e/8,Margalla Greens Golf Club e/7,223,294,86,0.7,178,290,80,normal
209,28-11-23,17:29:00,ARC Officer’s Mess (ARCOM) e/8,Pizza Hut e/9,203,268,83,0.75,184,290,80,normal
210,28-11-23,17:31:00,ARC Officer’s Mess (ARCOM) e/8,MGGC Club House e/8,226,277,70,0.85,187,290,80,normal
211,28-11-23,17:34:00,ARC Officer’s Mess (ARCOM) e/8,Riding Club E-8,222,275,70,0.65,178,290,80,normal
212,28-11-23,17:36:00,ARC Officer’s Mess (ARCOM) e/8,Trail 2 Alternate Starting Point e/7,270,400,100,5.4,313,461,130,normal
213,28-11-23,17:38:00,ARC Officer’s Mess (ARCOM) e/8,Dino Park e/7,287,358,143,4.7,291,429,121,normal
214,28-11-23,17:40:00,ARC Officer’s Mess (ARCOM) e/8,Daman-e-Koh e/6,377,442,169,8.5,411,600,174,normal
